scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,market_sentiment,crypto_influence,stock_downfall_rate,stock_increase_rate,factors_affecting,investor_count,expected_profit
Aditya Birla SL Dynamic Bond Fund,1000,1000,0.64,1795,10,Mohit Sharma,1.78,3.02,3.22,0.91,1.02,3,Aditya Birla Sun Life Mutual Fund,5,Debt,Dynamic Bond,7.5,8,6,Positive,Low,7.43,12.72,Inflation,60049,14.53
Aditya Birla SL Equity Advantage Fund,1000,1000,1.14,4836,10,Atul Penkar,2.21,-2.06,17.61,0.98,1.16,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Large & Mid Cap Funds,-9.9,22.3,7.9,Negative,Medium,0.65,12.6,Global Events,40178,14.45
Aditya Birla SL Equity Hybrid ’95 Fund,100,100,1.01,7046,10,Mahesh Patil,2.54,1.43,12.84,0.85,1.33,6,Aditya Birla Sun Life Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-5.7,20.4,7.7,Neutral,Medium,4.02,12.49,Government Policies,33821,11.05
Aditya Birla SL Equity Savings Fund,1000,1000,1.21,451,8,Dhaval Shah,2.55,1.11,6.83,0.99,1.2,4,Aditya Birla Sun Life Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,0.8,11.7,6.9,Positive,Medium,8.38,0.17,Global Events,52727,16.29
Aditya Birla SL Flexi Cap Fund,100,100,0.86,15449,10,Anil Shah,3.4,-1.46,16.6,0.96,1.27,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Flexi Cap Funds,-2.1,25,10.4,Neutral,Medium,2.31,11.24,Government Policies,61935,12.97
Aditya Birla SL Floating Rate Fund,1000,1000,0.23,12364,10,Kaustubh Gupta,2.81,3.73,1.14,1.37,1.66,2,Aditya Birla Sun Life Mutual Fund,5,Debt,Floater Mutual Funds,5.8,6.4,6.8,Neutral,Medium,8.31,11.38,Inflation,17999,15.16
Aditya Birla SL Focused Equity Fund,1000,1000,1.06,5633,10,Mahesh Patil,3.24,-1.14,16.09,0.95,1.26,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Focused Funds,-0.7,24,10.7,Neutral,Medium,1.2,10.18,Interest Rates,63522,11.43
Aditya Birla SL FP FoF – Aggressive – Direct Growth,100,100,0.22,159,10,Vinod Narayan Bhat,3.13,1.65,11.73,0.8,1.4,6,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,2.5,21.7,10.7,Neutral,Medium,0.47,11.34,Inflation,39712,15.97
Aditya Birla SL FP FoF – Conservative – Direct Growth,100,100,0.34,14,10,Vinod Narayan Bhat,3.82,1.94,5.49,0.36,1.57,4,Aditya Birla Sun Life Mutual Fund,4,Other,FoFs Domestic,4.7,13.3,8.2,Positive,Low,3.84,12.63,Interest Rates,65551,17.37
Aditya Birla SL FP FoF – Moderate – Direct Growth,100,100,0.36,28,10,Vinod Narayan Bhat,3.09,1.69,8.56,0.58,1.44,5,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,3.7,17.3,9.4,Positive,Low,0.37,7.05,Interest Rates,41172,7.2
Aditya Birla SL Frontline Equity Fund,100,100,1.03,21131,10,Mahesh Patil,3.36,0.76,16.02,0.95,1.39,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Large Cap Mutual Funds,1.6,26.3,10.6,Neutral,Low,9.57,7.53,Global Events,34722,17.49
Aditya Birla SL Global Emerging Oppt Fund,100,100,0.7,261,10,Vinod Narayan Bhat,0.98,-,16.64,-,0.7,6,Aditya Birla Sun Life Mutual Fund,0,Other,FoFs Overseas,-5.7,18.8,8.3,Neutral,Low,8.26,1.87,Inflation,11625,13.1
Aditya Birla SL Gold Fund,100,100,0.15,278,10,Lovelish Solanki,1.07,-0.57,13.89,0.97,0.45,5,Aditya Birla Sun Life Mutual Fund,2,Other,FoFs Domestic,11.8,12.1,13.2,Positive,Medium,8.01,5.78,Government Policies,68165,17.67
Aditya Birla SL Govt Securities Fund,1000,1000,0.29,1351,10,Bhupesh Bameta,0.71,1.09,3.35,0.73,0.57,3,Aditya Birla Sun Life Mutual Fund,3,Debt,Gilt Mutual Funds,3.6,6,8,Positive,High,6.3,9.65,Inflation,77509,11.47
Aditya Birla SL Income Fund,1000,5000,0.49,1496,10,Bhupesh Bameta,0.88,1.69,3.29,1.51,0.64,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Medium to Long Duration Funds,3.5,7.1,7.7,Positive,Medium,2.16,11.71,Global Events,7859,10.69
Aditya Birla SL India GenNext Fund,1000,1000,0.82,3217,10,Chanchal Khandelwal,3.73,3.33,14.93,0.79,1.43,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,4.6,25,13.3,Negative,High,5.18,3.26,Interest Rates,42609,18.73
Aditya Birla SL Infrastructure Fund,1000,1000,1.7,562,10,Mahesh Patil,3.3,4.38,22.52,0.85,1.4,6,Aditya Birla Sun Life Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,13.5,35.6,9.2,Negative,Low,5.97,2.07,Global Events,44307,8.77
Aditya Birla SL Inter Equity – Plan A-Direct Growth,1000,1000,1.75,108,10,Vinod Narayan Bhat,1.28,-,13.99,-,0.81,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,0.9,17.7,10.4,Negative,Medium,5.25,9.95,Market Trends,22839,17.66
Aditya Birla SL Inter Equity – Plan B-Direct Growth,1000,1000,2.15,90,10,Vinod Narayan Bhat,2.45,-1.93,16.3,0.87,1.14,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-4.1,22.7,7.6,Neutral,Low,2.6,0.03,Market Trends,28216,12.26
Aditya Birla SL Liquid Fund,500,500,0.21,28071,10,Kaustubh Gupta,5.28,1.49,0.39,0.8,1.06,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.4,5.4,Negative,Medium,5.15,2.68,Government Policies,53953,12.71
Aditya Birla SL Low Duration Fund,100,100,0.39,10035,10,Mohit Sharma,4.76,3.33,0.97,1,2.05,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Low Duration Funds,5.7,6.5,7,Neutral,Low,4.91,0.44,Global Events,85481,9.63
Aditya Birla SL Manufacturing Equity Fund,1000,1000,1.56,613,8,Anil Shah,2.43,-1.7,15.05,0.83,1.18,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-2.9,21.7,6.8,Neutral,High,9.96,2.5,Government Policies,61593,13.6
Aditya Birla SL Medium Term Plan – Direct Growth,1000,1000,0.86,1652,10,Sunaina da Cunha,2.29,9.65,10.73,1.12,0.93,4,Aditya Birla Sun Life Mutual Fund,5,Debt,Medium Duration Funds,22.1,14.5,8.6,Negative,High,8.97,2.72,Government Policies,73075,9.88
Aditya Birla SL Midcap Fund,1000,1000,1.2,3436,10,Anil Shah,3.11,-0.81,16.52,0.89,1.54,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Mid Cap Mutual Funds,-3.6,28,8.3,Neutral,High,4.63,5.82,Market Trends,50522,5.59
Aditya Birla SL Money Manager Fund,1000,1000,0.21,13095,10,Mohit Sharma,4.58,3.06,0.68,1.31,1.94,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Money Market Funds,5.6,5.6,6.4,Negative,Medium,6.23,6.03,Government Policies,5886,9.08
Aditya Birla SL Nifty 50 Index Fund,1000,100,0.32,494,10,Lovelish Solanki,3.42,-0.87,16.65,0.99,1.29,6,Aditya Birla Sun Life Mutual Fund,3,Other,Index Funds,0.7,25.5,11.6,Negative,High,7.48,13.11,Market Trends,8485,5.1
Aditya Birla SL Overnight Fund,0,5000,0.07,13399,4,Kaustubh Gupta,0.11,0.58,0.35,0.43,0.02,1,Aditya Birla Sun Life Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,,Positive,Medium,0.35,7.65,Interest Rates,32455,19.68
Aditya Birla SL Pure Value Fund,1000,1000,1.12,3798,10,Kunal Sangoi,2.31,3.41,18.83,0.99,1.36,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Value Funds,3,29.8,4.3,Negative,High,8.95,10.85,Global Events,17767,19.49
Aditya Birla SL Regular Savings Fund,500,500,0.92,1585,10,Dhaval Shah,3.88,5.71,4.8,0.6,2.08,4,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,3.6,13.9,7.6,Positive,High,8.6,1.56,Government Policies,29453,10.93
Aditya Birla SL Retirement-The 30s Plan-Dir Growth,500,1000,1.06,258,4,Dhaval Shah,2.41,-5.61,14.94,0.84,0.94,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,0,17.9,,Negative,Medium,4.57,3.38,Market Trends,77280,15.93
Aditya Birla SL Retirement-The 40s Plan-Dir Growth,500,1000,1.07,91,4,Dhaval Shah,2.34,-3.14,11.86,0.77,0.93,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,-0.1,15,,Negative,Medium,3.91,10.54,Inflation,54442,10.19
Aditya Birla SL Retirement-The 50s Plan-Dir Growth,500,1000,0.63,27,4,Dhaval Shah,0.29,-2.04,2.99,0.34,0.13,4,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,3,4.6,,Positive,High,2.73,0.79,Government Policies,52877,15.07
Aditya Birla SL Retirement-The 50sPlus-Debt-DirGrowth,500,1000,0.85,26,4,Dhaval Shah,0.22,0.09,2.19,1.09,0.18,3,Aditya Birla Sun Life Mutual Fund,1,Solution Oriented,Retirement Funds,2.9,4.6,,Positive,Medium,4.77,7.3,Interest Rates,13226,17.08
Aditya Birla SL Savings Fund,1000,1000,0.34,14457,10,Kaustubh Gupta,4.23,2.64,0.76,0.86,1.96,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Ultra Short Duration Funds,5.5,5.8,6.5,Negative,High,0.44,8.99,Interest Rates,94405,19.2
Aditya Birla SL Short Term Fund,1000,1000,0.38,5045,10,Kaustubh Gupta,3.7,4.91,2.05,1.27,1.57,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Short Duration Funds,5.5,7.8,7.6,Neutral,Medium,8.52,9.03,Inflation,23588,11
Aditya Birla SL Small Cap Fund,1000,1000,1.04,2901,10,Vishal Gajwani,3.11,-0.73,19.36,0.89,1.51,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Small Cap Mutual Funds,-2.3,31.6,5.4,Positive,Low,0.35,0.34,Market Trends,79976,16.75
Aditya Birla SL Tax Relief ’96 – Direct Growth,500,500,0.93,12755,10,Atul Penkar,1.94,-7.68,15.31,0.87,0.83,6,Aditya Birla Sun Life Mutual Fund,1,Equity,ELSS Mutual Funds,-3,16.1,5.8,Neutral,Low,3.29,4.83,Government Policies,32709,8.99
AXIS All Seasons Debt Fund,1000,5000,0.22,161,3,R Sivakumar,1.77,1.88,2.06,0.8,1.02,4,Axis Mutual Fund,4,Other,FoFs Domestic,4.7,6.2,,Neutral,Low,9.32,9.55,Market Trends,48788,19.85
AXIS Arbitrage Fund,1000,500,0.31,3085,9,Ashish Naik,1.47,1.41,0.68,0.44,1.21,1,Axis Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.6,4.9,5.6,Neutral,Low,7.35,2.23,Interest Rates,89031,5.39
AXIS Balanced Advantage Fund,1000,500,0.7,2077,6,Anupam Tiwari,2.26,-1.23,8.09,0.53,1.05,6,Axis Mutual Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage,1.2,12.4,8,Positive,Low,2.81,10.43,Market Trends,38019,14.05
AXIS Banking & PSU Debt Fund,1000,5000,0.33,13953,10,Aditya Pagaria,2.78,3.83,1.5,1.62,1.11,3,Axis Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.5,6.4,7.2,Neutral,High,2.53,11.19,Interest Rates,45948,14.89
AXIS Bluechip Fund,500,500,0.63,33049,10,Shreyash Devalkar,1.81,-5.97,15.76,0.89,0.9,6,Axis Mutual Fund,4,Equity,Large Cap Mutual Funds,-6.1,17.3,12.1,Positive,Low,0.05,14.73,Market Trends,66133,15.32
AXIS Children’s Gift Fund,1000,5000,1.06,685,7,Ashish Naik,2.34,-1.6,12.97,0.86,1.1,6,Axis Mutual Fund,0,Solution Oriented,Childrens Funds,-6.5,17.8,10.1,Neutral,Low,6.96,3.15,Inflation,67458,6.81
AXIS Corporate Debt Fund,1000,5000,0.22,3783,6,Devang Shah,2.88,2.46,2.06,0.67,1.28,3,Axis Mutual Fund,5,Debt,Corporate Bond Mutual Funds,4.9,7.5,7.3,Negative,Low,0.49,12.38,Global Events,28526,19.08
AXIS Credit Risk Fund,1000,5000,0.81,620,9,Devang Shah,1.97,3.22,1.62,0.26,1.77,4,Axis Mutual Fund,4,Debt,Credit Risk Funds,5.4,7.4,6.8,Negative,Low,5.33,7.8,Inflation,74493,7.72
AXIS Dynamic Bond Fund,1000,5000,0.26,1733,10,R Sivakumar,0.61,1.2,3.83,1.84,0.45,3,Axis Mutual Fund,2,Debt,Dynamic Bond,3.4,6.5,7.7,Positive,Medium,9.62,5.6,Inflation,53198,14.34
AXIS Equity Hybrid Fund,1000,500,0.89,1699,5,Ashish Naik,2.37,-1.88,13,0.87,1.09,6,Axis Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-4.9,17.4,,Negative,High,1.09,1.84,Global Events,44395,8.34
AXIS Equity Saver Fund,1000,500,0.88,978,8,R Sivakumar,2.39,0.66,7.52,1.16,1.19,4,Axis Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,1.4,12.7,8.8,Negative,Low,8.94,11.03,Global Events,25031,9.61
AXIS Flexi Cap Fund,500,500,0.7,10077,5,Shreyash Devalkar,1.77,-5.98,16.19,0.89,0.92,6,Axis Mutual Fund,4,Equity,Flexi Cap Funds,-8.3,17.9,12.3,Neutral,Low,9.91,3.54,Government Policies,76542,13.2
AXIS Floater Fund,1000,5000,0.16,416,2,Aditya Pagaria,-,-,-,-,-,2,Axis Mutual Fund,2,Debt,Floater Mutual Funds,5.8,,,Positive,Low,0.62,5.57,Government Policies,38701,11.26
AXIS Focused 25 Fund,500,500,0.74,15139,10,Jinesh Gopani,1.44,-10.67,18.84,1.04,0.74,6,Axis Mutual Fund,2,Equity,Focused Funds,-14.7,14.8,8.9,Neutral,High,8.83,0.94,Inflation,26939,7.4
AXIS FTP – Series 104 – 1112Days,0,0,0.13,110,4,Devang Shah,7.27,5.29,-,2.36,2.19,2,Axis Mutual Fund,0,Debt,Fixed Maturity Plans,11.2,14.5,14,Neutral,Medium,5.16,12.02,Inflation,50145,7.56
AXIS FTP – Series 109 – 111Days,0,0,0,565,1,Devang Shah,-,-,-,-,-,3,Axis Mutual Fund,0,Debt,Fixed Maturity Plans,11.2,14.5,14,Neutral,High,9.07,11.5,Interest Rates,21324,11.27
AXIS Gilt Fund,1000,5000,0.39,133,10,Devang Shah,1.15,1.09,2.87,0.56,0.6,3,Axis Mutual Fund,4,Debt,Gilt Mutual Funds,4,5.9,7.9,Neutral,Medium,5.71,11,Interest Rates,23867,16.36
AXIS Gold Fund,1000,5000,0.17,290,10,Aditya Pagaria,1.07,-0.04,13.9,0.97,0.49,5,Axis Mutual Fund,4,Other,FoFs Domestic,14.5,12,13.7,Neutral,Low,6.62,4.49,Government Policies,1203,18.47
AXIS Growth Opportunities Fund,1000,500,0.59,8053,4,Jinesh Gopani,2.64,1.19,17.3,0.91,1.28,6,Axis Mutual Fund,3,Equity,Large & Mid Cap Funds,-6.4,26.5,,Neutral,Low,5.44,2.6,Government Policies,17544,6.26
AXIS Liquid Fund,0,500,0.15,27226,10,Devang Shah,4.54,1.41,0.38,0.78,0.96,2,Axis Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.3,5.4,Neutral,High,8.64,9.56,Interest Rates,16899,10.9
AXIS Long Term Equity Fund,500,500,0.85,28754,10,Jinesh Gopani,1.45,-9.98,18.65,1.02,0.75,6,Axis Mutual Fund,2,Equity,ELSS Mutual Funds,-11.1,15.7,9.4,Positive,High,7.34,7.44,Interest Rates,30063,6.5
AXIS Midcap Fund,500,500,0.57,18920,10,Shreyash Devalkar,2.98,-2.25,15.37,0.81,1.4,6,Axis Mutual Fund,5,Equity,Mid Cap Mutual Funds,-2.5,25.2,15.8,Negative,Medium,5.21,2.67,Market Trends,91880,5.25
AXIS Money Market Fund,1000,5000,0.21,4002,4,Devang Shah,4.81,2.81,0.62,1.22,1.91,2,Axis Mutual Fund,4,Debt,Money Market Funds,5.6,5.4,,Neutral,Medium,8.68,10.29,Market Trends,4748,14.93
AXIS Nifty 100 Index Fund,1000,500,0.15,953,3,Ashish Naik,2.93,-1.76,16.66,0.99,1.24,6,Axis Mutual Fund,3,Other,Index Funds,-1.7,25.1,,Neutral,High,2.45,14.87,Interest Rates,67629,14.04
AXIS Overnight Fund,0,500,0.05,12566,4,Aditya Pagaria,0.49,0.62,0.35,0.44,0.09,1,Axis Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,,Neutral,Medium,1.57,11.21,Market Trends,81764,7.45
AXIS Regular Saver Fund,1000,500,0.86,407,10,Devang Shah,2.42,1.34,4.69,0.71,1.37,4,Axis Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,1.8,10.9,7,Neutral,High,1.6,11.1,Global Events,21884,8.51
AXIS Retirement Savings Fund,1000,5000,0.6,270,3,Jinesh Gopani,1.58,-4.95,13.43,0.85,0.79,6,Axis Mutual Fund,2,Solution Oriented,Retirement Funds,-1.3,13.6,,Neutral,Medium,3.34,14.25,Government Policies,26183,5.36
AXIS Retirement Savings Fund,1000,5000,0.41,81,3,Jinesh Gopani,1.84,-0.04,5.69,0.83,1.04,5,Axis Mutual Fund,2,Solution Oriented,Retirement Funds,-2.5,10.3,,Neutral,High,2.39,3.04,Government Policies,82570,17.52
AXIS Retirement Savings Fund,1000,5000,0.65,633,3,Jinesh Gopani,1.56,-4.49,13.03,0.78,0.76,6,Axis Mutual Fund,1,Solution Oriented,Retirement Funds,-4.1,14,,Negative,High,9.3,8.48,Interest Rates,72246,19.62
AXIS Short Term Fund,1000,5000,0.3,7096,10,Devang Shah,2.78,4.6,1.61,1.78,1.38,3,Axis Mutual Fund,4,Debt,Short Duration Funds,4.9,6.9,7.4,Negative,High,1.06,14.69,Inflation,20259,7.03
AXIS Small Cap Fund,500,500,0.54,11462,9,Anupam Tiwari,3.9,8.34,14.71,0.66,2.06,6,Axis Mutual Fund,5,Equity,Small Cap Mutual Funds,3.4,34.5,19.4,Neutral,Medium,6.99,2.48,Interest Rates,36959,8.47
AXIS Strategic Bond Fund,1000,5000,0.39,1644,10,Devang Shah,2.27,2.56,1.89,0.7,1.46,4,Axis Mutual Fund,4,Debt,Medium Duration Funds,5.2,7.4,7.4,Negative,Medium,1.89,10.5,Market Trends,34457,18.03
AXIS Treasury Advantage Fund,1000,5000,0.29,4614,10,Devang Shah,3.73,3.09,0.87,1.17,1.75,2,Axis Mutual Fund,4,Debt,Low Duration Funds,5.3,5.9,6.6,Positive,Medium,8.82,8.79,Inflation,86679,18.9
AXIS Triple Advantage Fund,1000,500,0.72,1478,10,R Sivakumar,2.35,-2.21,13.44,0.91,1.08,6,Axis Mutual Fund,2,Hybrid,Multi Asset Allocation Mutual Funds,-5.1,18.1,10.4,Neutral,High,9.61,8.8,Market Trends,3103,11.29
AXIS Ultra Short Term Fund,1000,5000,0.31,4491,5,Aditya Pagaria,4.47,2.29,0.53,0.81,2.25,3,Axis Mutual Fund,4,Debt,Ultra Short Duration Funds,5.7,5.4,,Positive,Medium,4.65,10.47,Global Events,66901,5.76
Bandhan Asset Allocation FoF – Moderate – Direct Growth,100,1000,0.42,16,10,Sachin Relekar,2.27,0.73,6.59,0.43,1.31,5,Bandhan Mutual Fund,0,Other,FoFs Domestic,1.3,12.7,6.9,Positive,Medium,8.79,13.94,Market Trends,45535,5.59
Bandhan FTP – Sr.179,0,5000,0.05,286,4,Harshal Joshi,0.9,9.78,3.98,5.4,0.64,3,Bandhan Mutual Fund,0,Debt,Fixed Maturity Plans,4.4,6.2,,Neutral,High,0.05,11.74,Global Events,17103,13.61
Bank of India Arbitrage Fund,1000,5000,0.98,12,5,Alok Singh,-1.14,0.24,0.6,0.52,-0.78,1,Bank of India Mutual Fund,1,Hybrid,Arbitrage Mutual Funds,4.2,3.4,,Negative,Low,8.2,0.84,Global Events,99046,10.89
Bank of India Balanced Advantage Fund,1000,5000,2.07,90,9,Alok Singh,1.81,-1.05,11.04,0.54,0.81,6,Bank of India Mutual Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage,13.6,12.1,5.1,Positive,High,2.29,12.79,Market Trends,91012,5.43
Bank of India Conservative Hybrid Fund,1000,10000,2.2,63,10,Alok Singh,4.71,6.44,11.85,0.64,0.93,3,Bank of India Mutual Fund,4,Hybrid,Conservative Hybrid Mutual Funds,22.3,15.5,6.4,Neutral,Medium,9.09,3.38,Market Trends,79278,13.75
Bank of India Credit Risk Fund,0,5000,1.54,161,8,Alok Singh,0.91,-13.36,77.72,-31.86,0.38,4,Bank of India Mutual Fund,5,Debt,Credit Risk Funds,130.8,12.8,-4.1,Positive,High,0.01,5.65,Global Events,13391,5.17
Bank of India Large & Mid Cap Equity Fund,1000,5000,1.89,204,10,Nitin Gosar,2.66,1.7,15.55,0.88,1.4,6,Bank of India Mutual Fund,2,Equity,Large & Mid Cap Funds,2.7,25.6,9.5,Positive,Low,5.56,6.93,Inflation,29901,16.81
Bank of India Liquid Fund,0,5000,0.18,403,10,Mithraem Bharucha,4.06,1.38,0.38,0.76,0.92,2,Bank of India Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.3,5.3,Positive,High,7.57,7.21,Global Events,98537,9.6
Bank of India Manufacturing & Infrastr Fund,1000,5000,1.55,87,10,Nitin Gosar,3.23,12.2,16.3,0.54,1.8,6,Bank of India Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,7.6,35.4,11.5,Positive,Medium,2.59,6.53,Government Policies,82159,5.6
Bank of India Mid & Small Cap Equity & Debt Fund,1000,5000,1.92,380,7,Alok Singh,2.56,10.87,15.51,0.75,1.59,6,Bank of India Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,-0.3,29.3,10.4,Negative,Low,1.93,14.06,Global Events,68914,13.83
Bank of India Midcap Tax Fund,0,500,0.95,51,5,Dhruv Bhatia,2.64,3.13,17.03,0.87,1.38,6,Bank of India Mutual Fund,0,Equity,ELSS Mutual Funds,-4.1,27.1,10.6,Positive,Medium,0.84,10.59,Inflation,51357,10.97
Bank of India Midcap Tax Fund,0,500,0.56,26,4,Dhruv Bhatia,2.65,2.58,16.94,0.87,1.36,6,Bank of India Mutual Fund,0,Equity,ELSS Mutual Funds,-4.7,26,,Positive,Low,3.26,9.47,Government Policies,87908,19.61
Bank of India Overnight Fund,0,5000,0.17,82,3,Mithraem Bharucha,1.92,0.76,0.34,0.47,0.39,1,Bank of India Mutual Fund,5,Debt,Overnight Mutual Funds,5.5,4,,Positive,Low,5.6,0.75,Interest Rates,39437,13.16
Bank of India Short Term Income – Direct Growth,1000,5000,0.98,72,10,Mithraem Bharucha,0.76,3.58,11.44,-0.99,0.43,2,Bank of India Mutual Fund,5,Debt,Short Duration Funds,28.3,8.8,4,Negative,High,1.16,13.56,Interest Rates,36503,9.13
Bank of India Small Cap Fund,1000,5000,1.52,414,4,Dhruv Bhatia,4.16,8.58,18.44,0.81,1.93,6,Bank of India Mutual Fund,4,Equity,Small Cap Mutual Funds,-1,47.7,,Positive,High,3.77,13.64,Inflation,97282,15.64
